,rtt
456,42682.5
457,32677.0
458,49214.5
459,39812.0
460,39403.5
461,38211.0
462,56531.5
463,38735.5
464,39047.5
465,37090.0
466,37188.5
467,38781.0
468,49062.5
469,44917.0
470,34268.5
471,33867.0
472,43755.5
473,61087.0
474,41367.5
475,49112.0
476,42563.5
477,38825.5
478,44181.5
479,49284.0
480,41731.5
481,47800.0
482,39692.5
483,42438.0
484,40279.0
485,46070.5
486,33790.5
487,30117.0
488,41353.0
489,32592.0
490,41013.5
491,36738.0
492,45988.5
493,46860.0
494,39649.0
495,30544.0
496,37586.5
497,36154.5
498,49476.0
499,42519.0
500,40519.0
501,41153.0
502,35128.5
503,39026.0
504,40292.0
505,38199.5
506,36947.0
507,40016.5
508,49040.5
509,42640.5
510,40877.5
511,32422.5
512,42558.5
513,95098.0
514,39638.5
515,38086.5
516,36429.0
517,49114.0
518,56198.0
519,30079.0
520,41100.0
521,32304.5
522,44469.0
523,39211.0
524,38145.5
525,42011.5
526,40874.0
527,46406.5
528,39453.5
529,60168.0
530,38989.5
531,88738.5
532,47934.0
533,42306.0
534,33531.5
535,39645.5
536,41048.5
537,41839.5
538,44045.0
539,41713.5
540,41424.0
541,44639.5
542,40684.0
543,41550.5
544,61074.0
545,39832.0
546,86751.0
547,51025.5
548,45163.0
549,36358.5
550,35362.0
551,33606.0
552,40033.0
553,36056.0
554,32862.0
555,38768.0
556,36745.0
557,82673.5
558,100612.5
559,30263.0
560,28746.0
561,37468.5
562,38623.0
563,41518.5
564,41207.0
565,47279.5
566,35326.5
567,33835.0
568,42897.0
569,40956.0
570,46348.5
571,39313.0
572,32785.0
573,40218.0
574,40419.0
575,30151.0
576,38691.0
577,48428.0
578,42674.5
579,41348.0
580,40581.0
581,61124.0
582,36995.0
583,31412.5
584,39775.5
585,39327.0
586,38032.5
587,39719.0
588,39429.5
589,39964.5
590,40050.0
591,36623.5
592,40852.5
593,39318.5
594,38948.0
595,50181.0
596,39712.5
597,40556.0
598,33363.5
599,30047.0
600,37929.0
601,46096.5
602,36870.5
603,40235.0
604,38406.5
605,45514.5
606,37807.0
607,30673.0
608,34947.0
609,28336.5
610,39020.0
611,37856.5
612,24904.5
613,34521.5
614,33643.0
615,29575.0
616,35657.0
617,88194.0
618,33849.5
619,31720.5
620,38879.5
621,62660.5
622,24538.5
623,15632.0
624,37089.5
625,13175.5
626,23243.0
627,4796.5
628,3405.0
629,40175.0
630,34022.0
631,29520.5
632,39070.5
633,44577.5
634,38449.5
635,29417.5
636,37170.0
637,39983.0
638,39330.5
639,29374.0
640,44708.5
