,rtt
456,56890.0
457,68093.5
458,51877.5
459,56749.5
460,19515.0
461,55524.0
462,65538.5
463,70184.0
464,63936.0
465,61752.0
466,51009.0
467,65969.5
468,51207.5
469,73924.0
470,47939.5
471,66175.0
472,66808.5
473,57772.0
474,66425.5
475,55483.0
476,59458.5
477,69219.0
478,76761.5
479,52166.5
480,56598.5
481,51669.5
482,71388.0
483,62341.5
484,63795.0
485,64820.5
486,46529.5
487,81836.0
488,73616.0
489,74290.0
490,80697.0
491,82103.0
492,66502.0
493,30367.0
494,21228.5
495,28764.0
496,69617.5
497,68834.5
498,60613.5
499,45674.5
500,37390.0
501,68534.0
502,59262.0
503,69291.0
504,51715.5
505,74581.0
506,77749.0
507,79636.5
508,106524.5
509,93851.5
510,30322.0
511,29373.0
512,28218.0
513,23644.0
514,33444.0
515,38582.0
516,23212.5
517,32618.0
518,35573.5
519,41817.5
520,28572.0
521,30679.5
522,33394.5
523,32355.5
524,37148.0
525,30967.5
526,32862.0
527,32944.5
528,32350.0
529,37748.5
530,30697.0
531,31836.0
532,26528.0
533,39195.0
534,38734.5
535,31143.5
536,30855.5
537,80432.0
538,34398.0
539,40905.0
540,29676.5
541,31893.5
542,34717.0
543,34376.0
544,32607.5
545,38287.5
546,22406.0
547,44882.0
548,35621.5
549,44838.5
550,36296.0
551,32912.5
552,83260.0
553,31992.5
554,38950.0
555,33487.5
556,36507.0
557,32824.0
558,41658.5
559,31771.5
560,34911.5
561,78146.5
562,33481.5
563,90479.5
564,30208.0
565,32575.5
566,32006.0
567,41022.0
568,34804.5
569,34091.5
570,33364.5
571,34785.5
572,61224.0
573,46508.5
574,35515.0
575,33180.0
576,38465.5
577,73300.0
578,35002.5
579,37655.0
580,30485.0
581,39499.5
582,32617.0
583,33199.5
584,30531.0
585,40515.0
586,34082.5
587,34870.5
588,33368.0
589,34027.0
590,41843.5
591,34986.0
592,35404.5
593,34629.5
594,33826.0
595,39832.0
596,19449.5
597,31397.0
598,33037.5
599,33480.5
600,37158.5
601,30478.0
602,33466.0
603,32757.5
604,58085.5
605,33766.5
606,34667.0
607,33617.0
608,34833.5
609,39663.0
610,33450.5
611,33888.0
612,64394.5
613,28353.5
