ioctl()SW-SEND    TIMESTAMP 1650296238.999878939
SW-SEND    TIMESTAMP 1650296240.269864918
SW-SEND    TIMESTAMP 1650296240.279865010
SW-SEND    TIMESTAMP 1650296240.289866806
SW-SEND    TIMESTAMP 1650296240.299866362
SW-SEND    TIMESTAMP 1650296240.309867621
SW-SEND    TIMESTAMP 1650296240.319869083
SW-SEND    TIMESTAMP 1650296240.329866713
SW-SEND    TIMESTAMP 1650296240.339867731
SW-SEND    TIMESTAMP 1650296240.349870990
SW-SEND    TIMESTAMP 1650296240.359866583
SW-SEND    TIMESTAMP 1650296240.369865731
SW-SEND    TIMESTAMP 1650296240.379867249
SW-SEND    TIMESTAMP 1650296240.389872953
SW-SEND    TIMESTAMP 1650296240.399865545
SW-SEND    TIMESTAMP 1650296240.409868119
SW-SEND    TIMESTAMP 1650296240.419866248
SW-SEND    TIMESTAMP 1650296240.429865248
SW-SEND    TIMESTAMP 1650296240.439868174
SW-SEND    TIMESTAMP 1650296240.449867044
SW-SEND    TIMESTAMP 1650296240.459866951
SW-SEND    TIMESTAMP 1650296240.469867248
SW-SEND    TIMESTAMP 1650296240.479867747
SW-SEND    TIMESTAMP 1650296240.489864507
SW-SEND    TIMESTAMP 1650296240.499869117
SW-SEND    TIMESTAMP 1650296240.509868432
SW-SEND    TIMESTAMP 1650296240.519868173
SW-SEND    TIMESTAMP 1650296240.529866876
SW-SEND    TIMESTAMP 1650296240.539868265
SW-SEND    TIMESTAMP 1650296240.549867802
SW-SEND    TIMESTAMP 1650296240.559867542
SW-SEND    TIMESTAMP 1650296240.569864801
SW-SEND    TIMESTAMP 1650296240.579865561
SW-SEND    TIMESTAMP 1650296240.589869005
SW-SEND    TIMESTAMP 1650296240.599867597
SW-SEND    TIMESTAMP 1650296240.609867671
SW-SEND    TIMESTAMP 1650296240.619868189
SW-SEND    TIMESTAMP 1650296240.629867282
SW-SEND    TIMESTAMP 1650296240.639868208
SW-SEND    TIMESTAMP 1650296240.649867782
SW-SEND    TIMESTAMP 1650296240.659867633
SW-SEND    TIMESTAMP 1650296240.669868170
SW-SEND    TIMESTAMP 1650296240.679868670
SW-SEND    TIMESTAMP 1650296240.689867688
SW-SEND    TIMESTAMP 1650296240.699867095
SW-SEND    TIMESTAMP 1650296240.709867281
SW-SEND    TIMESTAMP 1650296240.719865151
SW-SEND    TIMESTAMP 1650296240.729868576
SW-SEND    TIMESTAMP 1650296240.739868021
SW-SEND    TIMESTAMP 1650296240.749866743
SW-SEND    TIMESTAMP 1650296240.759868502
SW-SEND    TIMESTAMP 1650296240.769867854
SW-SEND    TIMESTAMP 1650296240.779868353
